"anciennete","anciennete_libelle","anciennete_regroupee","anciennete_regroupee_libelle"
"000","Depuis 0 an","00","Moins de 2 ans"
"001","Depuis 1 an","00","Moins de 2 ans"
"002","Depuis 2 ans","01","De 2 ? 4 ans"
"003","Depuis 3 ans","01","De 2 ? 4 ans"
"004","Depuis 4 ans","01","De 2 ? 4 ans"
"005","Depuis 5 ans","02","De 5 ? 9 ans"
"006","Depuis 6 ans","02","De 5 ? 9 ans"
"007","Depuis 7 ans","02","De 5 ? 9 ans"
"008","Depuis 8 ans","02","De 5 ? 9 ans"
"009","Depuis 9 ans","02","De 5 ? 9 ans"
"010","Depuis 10 ans","03","De 10 ? 19 ans"
"011","Depuis 11 ans","03","De 10 ? 19 ans"
"012","Depuis 12 ans","03","De 10 ? 19 ans"
"013","Depuis 13 ans","03","De 10 ? 19 ans"
"014","Depuis 14 ans","03","De 10 ? 19 ans"
"015","Depuis 15 ans","03","De 10 ? 19 ans"
"016","Depuis 16 ans","03","De 10 ? 19 ans"
"017","Depuis 17 ans","03","De 10 ? 19 ans"
"018","Depuis 18 ans","03","De 10 ? 19 ans"
"019","Depuis 19 ans","03","De 10 ? 19 ans"
"020","Depuis 20 ans","04","De 20 ? 29 ans"
"021","Depuis 21 ans","04","De 20 ? 29 ans"
"022","Depuis 22 ans","04","De 20 ? 29 ans"
"023","Depuis 23 ans","04","De 20 ? 29 ans"
"024","Depuis 24 ans","04","De 20 ? 29 ans"
"025","Depuis 25 ans","04","De 20 ? 29 ans"
"026","Depuis 26 ans","04","De 20 ? 29 ans"
"027","Depuis 27 ans","04","De 20 ? 29 ans"
"028","Depuis 28 ans","04","De 20 ? 29 ans"
"029","Depuis 29 ans","04","De 20 ? 29 ans"
"030","Depuis 30 ans","05","De 30 ? 39 ans"
"031","Depuis 31 ans","05","De 30 ? 39 ans"
"032","Depuis 32 ans","05","De 30 ? 39 ans"
"033","Depuis 33 ans","05","De 30 ? 39 ans"
"034","Depuis 34 ans","05","De 30 ? 39 ans"
"035","Depuis 35 ans","05","De 30 ? 39 ans"
"036","Depuis 36 ans","05","De 30 ? 39 ans"
"037","Depuis 37 ans","05","De 30 ? 39 ans"
"038","Depuis 38 ans","05","De 30 ? 39 ans"
"039","Depuis 39 ans","05","De 30 ? 39 ans"
"040","Depuis 40 ans","06","De 40 ? 49 ans"
"041","Depuis 41 ans","06","De 40 ? 49 ans"
"042","Depuis 42 ans","06","De 40 ? 49 ans"
"043","Depuis 43 ans","06","De 40 ? 49 ans"
"044","Depuis 44 ans","06","De 40 ? 49 ans"
"045","Depuis 45 ans","06","De 40 ? 49 ans"
"046","Depuis 46 ans","06","De 40 ? 49 ans"
"047","Depuis 47 ans","06","De 40 ? 49 ans"
"048","Depuis 48 ans","06","De 40 ? 49 ans"
"049","Depuis 49 ans","06","De 40 ? 49 ans"
"050","Depuis 50 ans","07","De 50 ? 59 ans"
"051","Depuis 51 ans","07","De 50 ? 59 ans"
"052","Depuis 52 ans","07","De 50 ? 59 ans"
"053","Depuis 53 ans","07","De 50 ? 59 ans"
"054","Depuis 54 ans","07","De 50 ? 59 ans"
"055","Depuis 55 ans","07","De 50 ? 59 ans"
"056","Depuis 56 ans","07","De 50 ? 59 ans"
"057","Depuis 57 ans","07","De 50 ? 59 ans"
"058","Depuis 58 ans","07","De 50 ? 59 ans"
"059","Depuis 59 ans","07","De 50 ? 59 ans"
"060","Depuis 60 ans","08","De 60 ? 69 ans"
"061","Depuis 61 ans","08","De 60 ? 69 ans"
"062","Depuis 62 ans","08","De 60 ? 69 ans"
"063","Depuis 63 ans","08","De 60 ? 69 ans"
"064","Depuis 64 ans","08","De 60 ? 69 ans"
"065","Depuis 65 ans","08","De 60 ? 69 ans"
"066","Depuis 66 ans","08","De 60 ? 69 ans"
"067","Depuis 67 ans","08","De 60 ? 69 ans"
"068","Depuis 68 ans","08","De 60 ? 69 ans"
"069","Depuis 69 ans","08","De 60 ? 69 ans"
"070","Depuis 70 ans","09","70 ans ou plus"
"071","Depuis 71 ans","09","70 ans ou plus"
"072","Depuis 72 ans","09","70 ans ou plus"
"073","Depuis 73 ans","09","70 ans ou plus"
"074","Depuis 74 ans","09","70 ans ou plus"
"075","Depuis 75 ans","09","70 ans ou plus"
"076","Depuis 76 ans","09","70 ans ou plus"
"077","Depuis 77 ans","09","70 ans ou plus"
"078","Depuis 78 ans","09","70 ans ou plus"
"079","Depuis 79 ans","09","70 ans ou plus"
"080","Depuis 80 ans","09","70 ans ou plus"
"081","Depuis 81 ans","09","70 ans ou plus"
"082","Depuis 82 ans","09","70 ans ou plus"
"083","Depuis 83 ans","09","70 ans ou plus"
"084","Depuis 84 ans","09","70 ans ou plus"
"085","Depuis 85 ans","09","70 ans ou plus"
"086","Depuis 86 ans","09","70 ans ou plus"
"087","Depuis 87 ans","09","70 ans ou plus"
"088","Depuis 88 ans","09","70 ans ou plus"
"089","Depuis 89 ans","09","70 ans ou plus"
"090","Depuis 90 ans","09","70 ans ou plus"
"091","Depuis 91 ans","09","70 ans ou plus"
"092","Depuis 92 ans","09","70 ans ou plus"
"093","Depuis 93 ans","09","70 ans ou plus"
"094","Depuis 94 ans","09","70 ans ou plus"
"095","Depuis 95 ans","09","70 ans ou plus"
"096","Depuis 96 ans","09","70 ans ou plus"
"097","Depuis 97 ans","09","70 ans ou plus"
"098","Depuis 98 ans","09","70 ans ou plus"
"099","Depuis 99 ans","09","70 ans ou plus"
"100","Depuis 100 ans","09","70 ans ou plus"
"101","Depuis 101 ans","09","70 ans ou plus"
"102","Depuis 102 ans","09","70 ans ou plus"
"103","Depuis 103 ans","09","70 ans ou plus"
"104","Depuis 104 ans","09","70 ans ou plus"
"105","Depuis 105 ans","09","70 ans ou plus"
"106","Depuis 106 ans","09","70 ans ou plus"
"107","Depuis 107 ans","09","70 ans ou plus"
"108","Depuis 108 ans","09","70 ans ou plus"
"109","Depuis 109 ans","09","70 ans ou plus"
"110","Depuis 110 ans","09","70 ans ou plus"
"111","Depuis 111 ans","09","70 ans ou plus"
"112","Depuis 112 ans","09","70 ans ou plus"
"113","Depuis 113 ans","09","70 ans ou plus"
"114","Depuis 114 ans","09","70 ans ou plus"
"115","Depuis 115 ans","09","70 ans ou plus"
"116","Depuis 116 ans","09","70 ans ou plus"
"117","Depuis 117 ans","09","70 ans ou plus"
"118","Depuis 118 ans","09","70 ans ou plus"
"119","Depuis 119 ans","09","70 ans ou plus"
"120","Depuis 120 ans","09","70 ans ou plus"
"-9","Anciennet? inconnue","-9","Anciennet? inconnue"
"999","Logement ordinaire inoccup?","99","Logement ordinaire inoccup?"
"ZZZ","Hors logement ordinaire","ZZ","Hors logement ordinaire"
